datetime,tempmax,tempmin,temp,conditions,humidity,windspeed,visibility
2013-01-01,4.2,-2.7,2.7,Partially cloudy,55.5,38.9,16.0
2013-01-02,0.3,-5.4,-2.5,Partially cloudy,49.8,27.7,16.0
2013-01-03,0.2,-3.9,-1.7,Partially cloudy,55.0,27.7,16.0
2013-01-04,3.0,-0.4,1.3,Partially cloudy,53.5,29.5,16.0
2013-01-05,5.9,0.3,2.7,Partially cloudy,48.2,23.8,16.0
2013-01-06,7.3,1.2,4.1,Partially cloudy,59.2,22.3,13.8
2013-01-07,6.9,3.3,4.8,Clear,50.2,21.5,16.0
2013-01-08,8.4,2.3,5.2,Clear,56.4,15.6,15.0
2013-01-09,9.3,3.6,6.8,Partially cloudy,61.9,37.1,12.8
2013-01-10,8.3,4.8,6.6,Clear,44.7,22.0,16.0
2013-01-11,7.4,3.1,4.8,"Rain, Partially cloudy",69.1,13.0,13.1
2013-01-12,7.8,6.2,6.9,"Rain, Overcast",93.8,12.3,5.8
2013-01-13,9.8,6.0,7.7,Overcast,93.2,13.4,6.2
2013-01-14,16.3,3.8,10.6,"Rain, Overcast",75.0,20.0,10.3
2013-01-15,3.3,1.9,2.8,"Snow, Rain, Overcast",66.2,18.0,15.6
2013-01-16,3.0,0.1,1.3,"Snow, Rain, Overcast",89.4,20.8,9.0
2013-01-17,6.0,2.3,4.3,Partially cloudy,59.9,16.9,15.9
2013-01-18,2.0,-3.8,-1.7,Partially cloudy,44.4,20.5,15.9
2013-01-19,10.9,-1.0,4.6,Partially cloudy,46.4,27.7,16.0
2013-01-20,11.9,-0.4,6.6,Clear,41.9,32.5,16.0
2013-01-21,-0.2,-2.9,-1.6,Partially cloudy,44.5,25.9,16.0
2013-01-22,-2.0,-9.7,-6.4,Partially cloudy,43.9,29.5,15.8
2013-01-23,-7.0,-11.7,-9.5,Partially cloudy,41.6,22.9,16.0
2013-01-24,-5.4,-10.6,-8.0,Partially cloudy,44.2,32.7,16.0
2013-01-25,-4.8,-10.4,-7.9,"Snow, Partially cloudy",56.4,22.4,13.7
2013-01-26,-2.8,-8.9,-6.3,Clear,58.0,27.7,16.0
2013-01-27,0.9,-6.8,-3.1,Clear,47.9,18.9,16.0
2013-01-28,1.9,-1.6,0.3,"Snow, Rain, Partially cloudy",69.7,16.1,9.9
2013-01-29,8.4,2.3,5.1,"Rain, Overcast",83.1,15.1,8.2
2013-01-30,13.5,3.6,8.7,"Rain, Overcast",90.7,23.3,6.8
2013-01-31,15.3,-1.0,7.6,"Rain, Partially cloudy",56.8,51.8,13.7
2013-02-01,-1.0,-4.1,-2.0,Partially cloudy,44.6,33.5,16.0
2013-02-02,-1.9,-7.0,-4.2,"Snow, Rain, Partially cloudy",49.1,22.3,14.6
2013-02-03,-1.0,-4.0,-2.8,"Snow, Partially cloudy",69.3,13.0,13.1
2013-02-04,-1.6,-4.7,-2.6,Partially cloudy,47.0,27.7,15.8
2013-02-05,-0.2,-2.1,-1.4,"Snow, Rain, Overcast",78.4,16.8,9.5
2013-02-06,3.9,-1.1,0.8,Partially cloudy,60.9,22.3,12.1
2013-02-07,-0.2,-3.1,-1.6,Partially cloudy,40.9,16.1,16.0
2013-02-08,1.3,-1.9,0.3,"Snow, Rain, Overcast",82.9,37.7,7.0
2013-02-09,0.3,-5.4,-2.2,"Snow, Rain, Partially cloudy",63.7,35.3,9.5
2013-02-10,1.9,-7.7,-2.8,Clear,50.9,18.1,16.0
2013-02-11,6.7,1.0,4.6,"Rain, Partially cloudy",86.4,11.2,7.0
2013-02-12,6.6,3.2,5.2,Partially cloudy,53.5,31.5,15.9
2013-02-13,6.6,0.9,3.4,Partially cloudy,55.3,10.8,15.7
2013-02-14,7.9,1.0,3.7,"Snow, Rain, Partially cloudy",65.4,17.0,14.4
2013-02-15,11.6,3.1,6.5,Partially cloudy,61.7,16.9,13.3
2013-02-16,5.2,0.0,2.1,"Snow, Rain, Overcast",65.8,23.4,15.6
2013-02-17,-0.7,-7.7,-2.8,Partially cloudy,38.2,38.9,16.0
2013-02-18,1.3,-7.9,-3.3,Clear,38.8,31.5,16.0
2013-02-19,8.4,1.0,4.8,"Rain, Partially cloudy",60.1,20.9,15.0
2013-02-20,3.4,-3.1,-0.4,Partially cloudy,45.2,31.2,16.0
2013-02-21,1.0,-3.9,-2.2,Partially cloudy,47.1,31.7,16.0
2013-02-22,2.9,-3.7,-0.1,Partially cloudy,61.5,17.4,16.0
2013-02-23,5.1,2.0,3.0,"Rain, Overcast",90.1,25.1,8.0
2013-02-24,7.8,1.2,4.0,"Rain, Partially cloudy",72.0,29.5,14.1
2013-02-25,6.7,0.2,3.7,Partially cloudy,55.1,22.3,16.0
2013-02-26,6.2,1.8,3.8,"Rain, Partially cloudy",69.5,23.8,14.7
2013-02-27,8.3,2.0,5.2,"Rain, Overcast",85.8,33.9,7.8
2013-02-28,9.1,4.3,7.1,Overcast,61.0,15.1,15.8
2013-03-01,6.8,2.3,4.2,Partially cloudy,61.3,20.9,16.0
2013-03-02,3.9,-0.7,2.0,Overcast,59.3,25.9,15.1
2013-03-03,4.0,-1.7,0.3,Partially cloudy,54.3,20.5,15.4
2013-03-04,4.1,-2.7,0.7,Partially cloudy,51.6,27.7,16.0
2013-03-05,8.8,-0.4,4.1,Clear,49.8,21.0,16.0
2013-03-06,5.2,3.1,4.3,Overcast,67.2,39.3,16.0
2013-03-07,3.1,0.9,2.1,"Snow, Rain, Overcast",75.7,29.5,11.1
2013-03-08,5.8,-0.7,1.9,"Snow, Rain, Overcast",79.4,26.1,7.5
2013-03-09,12.7,2.3,7.0,Clear,40.6,19.2,16.0
2013-03-10,7.9,2.0,4.6,Clear,70.9,14.3,16.0
2013-03-11,11.0,4.0,7.7,Overcast,78.9,25.9,15.4
2013-03-12,13.6,7.5,10.2,"Rain, Overcast",85.5,29.9,11.2
2013-03-13,10.2,4.3,6.7,Partially cloudy,53.7,20.5,16.0
2013-03-14,4.3,-1.7,1.6,Partially cloudy,38.5,31.4,16.0
2013-03-15,8.1,-1.0,3.1,Partially cloudy,42.0,22.9,16.0
2013-03-16,5.8,0.8,2.2,"Snow, Rain, Partially cloudy",64.7,19.9,12.2
